t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,vel_der,i_der,vel_der_est,i_der_est,u_der
1.674999999999998,0.0,1.5324688961334,-0.11713597903512524,0.9238034938650487,-2.22456763175766,0.0,1.7240013282113003,0.039661663111981826,1.4263969775640475,1.662762452817057
1.699999999999998,0.0,1.1213391376108002,-0.11693848506824879,0.9164093138466948,-2.222566340446436,0.0,1.4950839435627,0.03862918641052233,1.452800369545239,1.6559125549524285
1.7249999999999979,0.0,1.3409364640555002,-0.11792212028895524,0.9532355682728034,-2.2325336456847236,0.0,1.7240013282113003,0.036368881607373234,1.5106028493812191,1.6409167133771834
1.7499999999999978,0.0,1.3082639004643002,-0.11852853516987603,0.9759389961076644,-2.238678500555345,0.0,1.6820087064162002,0.03480998425486164,1.5504683279917788,1.63057431278708
1.7749999999999977,0.0,1.2474217227512001,-0.11869121142677543,0.9820293645316786,-2.2403269048906362,0.0,1.6037830493565,0.03404226070023783,1.5701012222911022,1.6254809020301115
1.7999999999999976,0.0,1.3082639004643002,-0.11913523229827354,0.9986530102093062,-2.2448262207126497,0.0,1.6820087064162002,0.03293561326866987,1.5984013726776125,1.6181389233995076
1.8249999999999975,0.0,1.4950839435627,-0.1204548601935015,1.0480584087722176,-2.2581981666659843,0.0,1.6820087064162002,0.03204407660648735,1.6212005234232594,1.6122240828320802
1.8499999999999974,0.0,1.3082639004643002,-0.12052649145382685,1.0507400872693577,-2.2589239830960084,0.0,1.4950839435627,0.0324923107867317,1.6097378892110825,1.6151978626278378
1.8749999999999973,0.0,1.6657771443757001,-0.12243803916738835,1.1223063557581243,-2.2782939367149657,0.0,1.4991680140116002,0.032827930973069394,1.6011551179733297,1.6174245123861715
1.8999999999999972,0.0,1.3082639004643002,-0.12209092626588919,1.1093106535694586,-2.2747765510065783,0.0,1.4950839435627,0.033123799087071464,1.5935889212950431,1.6193874296699398
1.9249999999999972,0.0,0.9577668801446001,-0.11999846314989016,1.0309711331541593,-2.2535733653991876,0.0,1.7240013282113003,0.031933634663939954,1.6240248408111173,1.6114913631247814
1.949999999999997,0.0,1.5324688961334,-0.1213297971532163,1.0808150230378308,-2.267063992748956,0.0,1.5324688961334,0.032170041927185436,1.6179792287108583,1.6130597913572426
1.974999999999997,0.0,0.7662344480667,-0.11840423630624063,0.9712850759565325,-2.2374188812231823,0.0,1.5324688961334,0.03236049620955199,1.6131087661959473,1.6143233476004872
1.999999999999997,0.0,0.5747020159888001,-0.11510258298106453,0.8476750155529157,-2.203962880842836,0.0,1.7240013282113003,0.03131870304231975,1.6397504069423667,1.6074116402641991
2.024999999999997,0.0,0.5606695688054001,-0.14314422587882325,0.7436491926436724,-2.833985247650029,0.0,1.4950839435627,0.06342982417456966,1.6321300669003858,2.2869939974019173
2.0499999999999967,0.0,0.1915324320779,-0.13886977637606537,0.5836139810600497,-2.7906704955434276,0.0,1.5324688961334,0.06287958630802297,1.6462012281071736,2.2833434809388793
2.0749999999999966,0.0,0.5747020159888001,-0.1374859356601287,0.5318048673498388,-2.776647966439052,0.0,1.7240013282113003,0.06124107716016259,1.688102608774297,2.272472901198162
2.0999999999999965,0.0,0.7475943316589001,-0.13729138980952463,0.5245214055468496,-2.774676642447716,0.0,2.2426782752216003,0.056684343662132174,1.8046313600167594,2.2422415564954483
2.1249999999999964,0.0,0.7662344480667,-0.1372346430248048,0.5223968848570933,-2.774101624831764,0.0,1.7240013282113003,0.05625006937176679,1.8157369997838264,2.239360392659386
2.1499999999999964,0.0,2.2987033442001,-0.14514146283650328,0.8184196553081176,-2.8542224339613775,0.0,2.1071709121222,0.05350910241177509,1.8858313902466237,2.2211756300388856
2.1749999999999963,0.0,1.4950839435627,-0.1472090115526754,0.8958257300936067,-2.875172974254289,0.0,1.8689334692697002,0.05278760802007801,1.904282072193237,2.2163889235824934
2.199999999999996,0.0,1.7240013282113003,-0.15002778237452982,1.0013572697516504,-2.9037358859432647,0.0,2.1071709121222,0.050719676305183564,1.9571650201417048,2.202669368440267
