t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,ref_vel_izq,vel_der,i_der,vel_der_est,i_der_est,u_der,ref_vel_der
0.9000000000000005,0.0,0.0,-1.935470492497667e-10,7.24616979421975e-09,-1.961230802615373e-09,0.0,0.0,0.0,-4.950727191260562e-10,1.2660430055428945e-08,-3.2845269601643824e-09,0.0
0.9250000000000005,0.0,0.0,-1.5267977751442213e-10,5.716148069948175e-09,-1.5471188207645246e-09,0.0,0.0,0.0,-3.9884016322952423e-10,1.0199487458684923e-08,-2.6460784816344943e-09,0.0
0.9500000000000005,0.0,0.0,-1.2044159115413792e-10,4.509188970701694e-09,-1.220446188165251e-09,0.0,0.0,0.0,-3.2131336308460616e-10,8.21690471328821e-09,-2.1317320929650298e-09,0.0
0.9750000000000005,0.0,0.0,-9.501046674333261e-11,3.55707812089578e-09,-9.627501667950084e-10,0.0,0.0,0.0,-2.5885627569209155e-10,6.619697766004559e-09,-1.7173647092073648e-09,0.0
1.0000000000000004,0.0,0.0,-7.494909957229503e-11,2.806004553052676e-09,-7.594664102566019e-10,0.0,0.0,0.0,-2.0853963763178871e-10,5.332956945562389e-09,-1.3835423274254723e-09,0.0
1.0250000000000004,0.0,0.0,-0.030718968549252317,-0.003789947748994957,-0.6571519665237026,-0.625,0.0,0.0,0.03152188825002447,0.007448035580395361,0.6756731308507011,0.625
1.0500000000000003,0.0,0.0,-0.03047188715654607,-0.013045101572629279,-0.6546469807934676,-0.625,0.0,0.0,0.030730247752688983,0.027692554769070187,0.6704210447223772,0.625
1.0750000000000002,0.0,0.0,-0.030276876572956895,-0.02034606435958524,-0.6526709198518387,-0.625,0.0,0.0,0.0300924868083808,0.04400193219093984,0.6661898622419167,0.625
1.1,0.0,0.0,-0.03012304228280107,-0.02610543600055469,-0.6511121022438123,-0.625,0.0,0.0,0.029578694214174153,0.05714108316947378,0.6627811395181448,0.625
1.125,0.0,0.0,-0.03000168995235415,-0.030648721959969986,-0.6498824274470938,-0.625,0.0,0.0,0.029164772926477334,0.067726238256568,0.6600350063213366,0.625
1.15,0.0,0.0,-0.029905961047595686,-0.03423269753998193,-0.6489123972790252,-0.625,0.0,0.0,0.028831309900822024,0.07625384470564357,0.657822668101779,0.625
1.1749999999999998,0.0,0.0,-0.02983044520727523,-0.03705992018809924,-0.6481471880304421,-0.625,0.0,0.0,0.028562665612537244,0.08312385004066586,0.6560403654753625,0.625
1.1999999999999997,0.0,0.0,-0.029770874462633806,-0.039290177544711605,-0.6475435519648014,-0.625,0.0,0.0,0.028346240557328317,0.08865845974113945,0.6546045078705572,0.625
1.2249999999999996,0.0,0.0,-0.0297238820223405,-0.04104951824626172,-0.647067373062821,-0.625,0.0,0.0,0.028171884330113674,0.09311724879192004,0.6534477531013387,0.625
1.2499999999999996,0.0,0.0,-0.06040578047988635,-0.0462273258455286,-1.3038437047938862,-1.25,0.0,0.0,0.059553307985601676,0.10415736712236545,1.328188980961065,1.25
1.2749999999999995,0.0,0.0,-0.06012945636913196,-0.0565772920212122,-1.3010423997985914,-1.25,0.0,0.0,0.05864850634600255,0.12729574143832442,1.32218613477619,1.25
1.2999999999999994,0.0,0.0,-0.05991137763822121,-0.06474189862489522,-1.298832587108942,-1.25,0.0,0.1915324320779,0.05672435373636872,0.1765018450862599,1.3094204725254814,1.25
1.3249999999999993,0.0,0.5606695688054001,-0.06264851524860628,0.037733586897792604,-1.3265683549102547,-1.25,0.0,0.3737448059519,0.054037152490729615,0.24522129194985903,1.291592414953746,1.25
1.3499999999999992,0.0,0.5747020159888001,-0.06488052668243793,0.12129743091473956,-1.349185542973579,-1.25,0.0,0.5747020159888001,0.050618250359333025,0.3326524301019915,1.2689099366207581,1.25
1.3749999999999991,0.0,0.5747020159888001,-0.06664125126521343,0.18721685121647028,-1.367027133946155,-1.25,0.0,0.9577668801446001,0.04547346273498132,0.4642194127945686,1.2347771860088603,1.25
1.399999999999999,0.0,0.7475943316589001,-0.06892729404110629,0.27280365763355197,-1.3901918522851597,-1.25,0.0,0.7475943316589001,0.04264026934813327,0.5366722976366948,1.215980553306517,1.25
1.424999999999999,0.0,0.9577668801446001,-0.10254014271683637,0.37735724093353834,-2.0766678172720634,-1.875,0.0,0.9577668801446001,0.07056813471723265,0.6360298114494236,1.8678093788826644,1.875
1.4499999999999988,0.0,0.9577668801446001,-0.10457590418691182,0.4535689906946301,-2.0972950970937947,-1.875,0.0,0.9577668801446001,0.0668810794541612,0.7303183946854302,1.8433478564604042,1.875
1.4749999999999988,0.0,1.1213391376108002,-0.10703045052663525,0.5454643632825121,-2.122167276695341,-1.875,0.0,1.1213391376108002,0.06288997019362114,0.8323825110967171,1.8168691080647672,1.875
1.4999999999999987,0.0,1.9156384800443,-0.11308813749612037,0.7722573789093516,-2.1835505269591122,-1.875,0.0,1.3409364640555002,0.0583042938434931,0.9496514141186998,1.7864457439390373,1.875
1.5249999999999986,0.0,1.9156384800443,-0.11786675973300739,0.9511632741193873,-2.2319727641436886,-1.875,0.0,1.5324688961334,0.05341475708537448,1.0746908997102889,1.7540064381877616,1.875
1.5499999999999985,0.0,1.8689334692697002,-0.12139404035970523,1.0832204101144032,-2.2677150293442936,-1.875,0.0,1.6820087064162002,0.0485424725740267,1.1992891958459093,1.7216815913179244,1.875
1.5749999999999984,0.0,1.9647520451862002,-0.12467371633757529,1.206007608524184,-2.3009483157886645,-1.875,0.0,1.5717388042959002,0.045305386851211486,1.2820707667013571,1.7002053618305335,1.875
1.5999999999999983,0.0,2.0557535123681,-0.12773307619789825,1.3205464324334542,-2.331949117122021,-1.875,0.0,1.6820087064162002,0.04200940642791921,1.3663584440490695,1.678338399377745,1.875
1.6249999999999982,0.0,2.4902357762780003,-0.1324008723374023,1.495303387365589,-2.379248412601795,-1.875,0.0,1.5324688961334,0.04028727933363805,1.4103981755493775,1.666913061944669,1.875
1.6499999999999981,0.0,2.6818729281110003,-0.13707742889554342,1.6703881787304762,-2.4266364392505397,-1.875,0.0,1.7240013282113003,0.037704673466704086,1.4764428184396565,1.6497789354420256,1.875
1.674999999999998,0.0,2.2987033442001,-0.13877836975112112,1.734069141991963,-2.44387217446034,-1.875,0.0,1.7240013282113003,0.03562407602558852,1.5296496653514555,1.6359753503835384,1.875
1.699999999999998,0.0,2.2426782752216003,-0.13982945424261709,1.773420453886091,-2.4545229053689392,-1.875,0.0,1.4950839435627,0.03537642784301985,1.5359827400134787,1.6343323450213956,1.875
1.7249999999999979,0.0,3.2565749440998,-0.1459194498832795,2.0014231969278082,-2.5162335777547726,-1.875,0.0,1.5324688961334,0.03494362297197284,1.5470508025140326,1.6314609299493403,1.875
1.7499999999999978,0.0,2.4902357762780003,-0.14674722606203142,2.032413694239931,-2.5246213900725247,-1.875,0.0,1.5324688961334,0.03459494696270081,1.5559674486083426,1.62914766220387,1.875
1.7749999999999977,0.0,2.6818729281110003,-0.148394564092814,2.0940881707553687,-2.5413140550152122,-1.875,0.0,1.5324688961334,0.03431404679827733,1.563150871864869,1.627284048784023,1.875
1.7999999999999976,0.0,2.42949831832,-0.1483845642009359,2.093713638005899,-2.5412126846292247,-1.875,0.0,1.4950839435627,0.034321042856505384,1.5629719625804246,1.6273304636661097,1.875
1.8249999999999975,0.0,2.6818729281110003,-0.14968617912890328,2.1424446912836896,-2.5544021139843927,-1.875,0.0,1.5324688961334,0.03409338433106121,1.5687938443497589,1.6258200783516648,1.875
1.8499999999999974,0.0,2.8033478440270003,-0.15134326438481002,2.20448405088061,-2.5711935372284818,-1.875,0.0,1.3082639004643002,0.03530909283020345,1.5377046895105442,1.6338856153666879,1.875
1.8749999999999973,0.0,2.6818729281110003,-0.15202015734430985,2.2298260412478337,-2.578052538966224,-1.875,0.0,1.5324688961334,0.03488937657801142,1.5484380384694292,1.631101035863937,1.875
1.8999999999999972,0.0,2.6818729281110003,-0.1832730919898244,2.246027144836558,-3.2406152351269095,-2.5,0.0,1.5324688961334,0.06607313343227858,1.564533064118449,2.3045308565047695,2.5
1.9249999999999972,0.0,2.6818729281110003,-0.1834472303356571,2.2525419537065514,-3.242378509383559,-2.5,0.0,1.7240013282113003,0.06381386074382964,1.6223091498532065,2.2895418624169097,2.5
1.949999999999997,0.0,3.0649377922668,-0.18557212375711818,2.332095645108265,-3.2639103196086614,-2.5,0.0,1.7240013282113003,0.06199374678941242,1.6688546865442357,2.277466437690603,2.5
1.974999999999997,0.0,3.1770926499789,-0.18783029532458556,2.416638951048685,-3.2867926065688673,-2.5,0.0,1.8689334692697002,0.059623002304145446,1.729481425961951,2.261737891404848,2.5
1.999999999999997,0.0,3.2565749440998,-0.1900240706272427,2.498771318674273,-3.3090223547586786,-2.5,0.0,2.2987033442001,0.055031175849313,1.84690760480991,2.2312737248191397,2.5
2.024999999999997,0.0,3.6396398082556,-0.19374225782096668,2.6379760213128938,-3.34669916350956,-2.5,0.0,2.1071709121222,0.05252713811887689,1.9109430349947174,2.214660853382162,2.5
2.0499999999999967,0.0,3.3640174128324003,-0.19524522497443308,2.6942451495947144,-3.3619288294876912,-2.5,0.0,2.2426782752216003,0.04966422514408389,1.9841559349831732,2.1956670480539766,2.5
2.0749999999999966,0.0,3.8311722403335002,-0.19885478408994667,2.829382996611974,-3.398504913011342,-2.5,0.0,2.2987033442001,0.04700819156778829,2.052078335104556,2.178045770307404,2.5
2.0999999999999965,0.0,3.7421604484985003,-0.20124033503631703,2.9186951154057312,-3.422677915127222,-2.5,0.0,2.138377399142,0.04586892719236637,2.0812125943399407,2.170487396736834,2.5
2.1249999999999964,0.0,3.7377622187843,-0.20309935685013114,2.988294663755468,-3.4415155606579715,-2.5,0.0,2.2426782752216003,0.04430024111796804,2.121328398658729,2.160080053523618,2.5
2.1499999999999964,0.0,3.8311722403335002,-0.20505052839238694,3.0613442452657442,-3.4612869839249725,-2.5,0.0,2.2987033442001,0.042686861866765215,2.1625871357567688,2.1493761964075837,2.5
2.1749999999999963,0.0,3.7377622187843,-0.20610503272680133,3.1008235699475715,-3.471972362427179,-2.5,0.0,2.0557535123681,0.042903180924443785,2.157055236716434,2.15081135077907,2.5
2.199999999999996,0.0,3.8311722403335002,-0.20742155875370705,3.150112783210258,-3.4853128618527554,-2.5,0.0,2.1071709121222,0.04275658987947548,2.1608039903842617,2.1498388022609625,2.5
