t,vel_izq,i_izq,vel_izq_est,i_izq_est,u_izq,ref_vel_izq,vel_der,i_der,vel_der_est,i_der_est,u_der,ref_vel_der
7.650000000000041,0.0,1.3409364640555002,-0.14246893019518428,0.9029826640730654,-2.77180171514694,-2.4000000953674316,0.0,0.9577668801446001,0.02790459383863024,1.043674343354513,1.1928646362687636,1.350000023841858
7.675000000000042,0.0,1.3409364640555002,-0.14330268340826807,0.9341973861362532,-2.7802502163750282,-2.4000000953674316,0.0,0.7662344480667,0.02922382337045037,1.0099378586528502,1.2016169766757396,1.350000023841858
7.700000000000042,0.0,1.4950839435627,-0.1447602218089324,0.9887659696453548,-2.7950196174532502,-2.4000000953674316,0.0,0.7475943316589001,0.030402940900647324,0.979784439889291,1.2094397533457606,1.350000023841858
7.725000000000042,0.0,1.7240013282113003,-0.17781676586346898,1.0724921850290623,-3.475858497398489,-3.0250000953674316,0.0,0.9577668801446001,0.06156320186427128,0.9964803228850426,1.8827136920658403,1.975000023841858
7.750000000000043,0.0,1.6820087064162002,-0.1791957972799702,1.124116723119095,-3.489831061893464,-3.0250000953674316,0.0,0.9344143747573,0.06062595475859036,1.0204484208719562,1.8764955885986456,1.975000023841858
7.775000000000043,0.0,2.1071709121222,-0.182489603462062,1.247433133580471,-3.5232075839283037,-3.0250000953674316,0.0,0.9577668801446001,0.059725162794838485,1.0434842562372064,1.8705193443497676,1.975000023841858
7.800000000000043,0.0,2.1071709121222,-0.18508793101392462,1.3447114062019174,-3.549536686075841,-3.0250000953674316,0.0,1.1494040319776002,0.0578035869730072,1.0926244640268545,1.8577707776260008,1.975000023841858
7.825000000000044,0.0,2.6818729281110003,-0.19011960421664575,1.5330915653757833,-3.6005232052315255,-3.0250000953674316,0.0,1.3409364640555002,0.05506030133778693,1.16277814966807,1.8395706319094103,1.975000023841858
7.850000000000044,0.0,2.6164230811735,-0.19374924943132363,1.6689810979374817,-3.637302737604916,-3.0250000953674316,0.0,1.3082639004643002,0.053054144947556406,1.2140813252975875,1.8262609210418135,1.975000023841858
7.875000000000044,0.0,2.8734053601889,-0.19794591230935094,1.8260992830038891,-3.6798279660845505,-3.0250000953674316,0.0,1.5324688961334,0.05003883177123814,1.2911915357567314,1.8062560267334682,1.975000023841858
7.900000000000045,0.0,2.8734053601889,-0.20125645714786988,1.950042118115008,-3.7133740342676775,-3.0250000953674316,0.0,1.5324688961334,0.047609636918418026,1.3533130187975013,1.7901396953798339,1.975000023841858
7.925000000000045,0.0,3.0649377922668,-0.19195982678003506,2.086613576188508,-3.4739034322579605,-2.762500047683716,0.0,1.5324688961334,0.05889181989774061,1.4064874642330405,2.0609387039599194,2.237499952316284
7.9500000000000455,0.0,2.9901678871254,-0.19451971669428048,2.182454728970772,-3.499843570376785,-2.762500047683716,0.0,1.6820087064162002,0.05604954975455186,1.4791724677962073,2.0420818521185122,2.237499952316284
7.975000000000046,0.0,3.0649377922668,-0.1969270911843079,2.2725839916636112,-3.524237738852328,-2.762500047683716,0.0,1.9156384800443,0.05230183331454781,1.5750123313629736,2.0172178771693687,2.237499952316284
8.000000000000046,0.0,3.4481073761777004,-0.2008143196112731,2.4181173957470956,-3.5636274586400027,-2.762500047683716,0.0,1.7240013282113003,0.05047848049137126,1.6216406952215283,2.0051209643843197,2.237499952316284
8.025000000000047,0.0,3.2565749440998,-0.20288695615690666,2.495714313588473,-3.5846296526770796,-2.762500047683716,0.0,1.7240013282113003,0.049009552047185816,1.659205410677612,1.995375456520351,2.237499952316284
8.050000000000047,0.0,2.9901678871254,-0.20313963788809103,2.5051742580306224,-3.5871900581036806,-2.762500047683716,0.0,1.6820087064162002,0.04808820285815954,1.682766953282524,1.98926282673052,2.237499952316284
8.075000000000047,0.0,3.0649377922668,-0.19082495535749205,2.52875338774851,-3.3171372254830427,-2.5,0.0,1.7240013282113003,0.06032309350673269,1.7115780849625841,2.266382599833617,2.5
8.100000000000048,0.0,3.0649377922668,-0.1913920120840868,2.549985296036502,-3.322883805892734,-2.5,0.0,1.7240013282113003,0.059181516912299906,1.7407714742877047,2.2588088859962547,2.5
8.125000000000048,0.0,3.2565749440998,-0.1928337329811902,2.6039617132578985,-3.337492932713012,-2.5,0.0,1.9156384800443,0.05706596031545906,1.7948723271285316,2.244773366748832,2.5
8.150000000000048,0.0,2.9901678871254,-0.19258872107674793,2.594788603860924,-3.33501016082334,-2.5,0.0,1.6820087064162002,0.05681955525127016,1.8011736116863983,2.243138608772735,2.5
8.175000000000049,0.0,3.2565749440998,-0.19377775710810444,2.639304846309741,-3.347058819680979,-2.5,0.0,2.1071709121222,0.05396789129583135,1.8740988419715818,2.2242194343134707,2.5
8.200000000000049,0.0,3.2565749440998,-0.1947157326785675,2.6744215286506803,-3.356563416046863,-2.5,0.0,1.9156384800443,0.05286576226919211,1.9022834437773812,2.2169074327394873,2.5
8.22500000000005,0.0,3.6396398082556,-0.19744328002867684,2.7765378616158127,-3.3842019763039737,-2.5,0.0,1.9156384800443,0.05197786572179965,1.924989506342418,2.2110167422710334,2.5
8.25000000000005,0.0,3.1770926499789,-0.19719487577218836,2.7672376309989235,-3.381684797892236,-2.5,0.0,1.8689334692697002,0.051554014005749924,1.9358286109780165,2.208204726309191,2.5
