Index,tiempo,CorrienteD_mA,RPMD,CorrienteI_mA,RPMI
0.18749999999999975,3.7499999999999947,0.0035800000000000003,0.0,0.003,0.0
0.18999999999999972,3.7999999999999945,0.0035800000000000003,0.0,0.003,0.0
0.19249999999999973,3.8499999999999943,0.0035800000000000003,0.0,0.003,0.0
0.19499999999999973,3.899999999999994,0.0035800000000000003,0.0,0.003,0.0
0.1974999999999997,3.949999999999994,0.0035800000000000003,0.0,0.003,0.0
0.1999999999999997,3.999999999999994,0.0035800000000000003,0.0,0.003,0.0
0.20249999999999968,4.049999999999994,0.00362,0.0,0.003,0.0
0.20499999999999968,4.099999999999993,0.00362,0.0,0.003,0.0
0.20749999999999968,4.149999999999993,0.00362,0.0,0.003,0.0
0.20999999999999966,4.199999999999993,0.00362,0.0,0.003,0.0
0.21249999999999966,4.249999999999993,0.00362,0.0,0.003,0.0
